base,probe,time
7f4cbe960500,7f4c60ccaa40,264
7f4c5b5e2400,7f4c60ccaa40,260
7f4c5b5e2400,7f4cbe960500,270
7f4ca13a02c0,7f4c60ccaa40,254
7f4ca13a02c0,7f4cbe960500,256
7f4ca13a02c0,7f4c5b5e2400,252
7f4c7bb6f600,7f4c60ccaa40,252
7f4c7bb6f600,7f4cbe960500,256
7f4c7bb6f600,7f4c5b5e2400,266
7f4c7bb6f600,7f4ca13a02c0,260
7f4cafd9fa40,7f4c60ccaa40,262
7f4cafd9fa40,7f4cbe960500,262
7f4cafd9fa40,7f4c5b5e2400,250
7f4cafd9fa40,7f4ca13a02c0,254
7f4cafd9fa40,7f4c7bb6f600,268
7f4c6b1bbb40,7f4c60ccaa40,262
7f4c6b1bbb40,7f4cbe960500,270
7f4c6b1bbb40,7f4c5b5e2400,284
7f4c6b1bbb40,7f4ca13a02c0,254
7f4c6b1bbb40,7f4c7bb6f600,266
7f4c6b1bbb40,7f4cafd9fa40,252
7f4c63b59940,7f4c60ccaa40,264
7f4c63b59940,7f4cbe960500,274
7f4c63b59940,7f4c5b5e2400,268
7f4c63b59940,7f4ca13a02c0,258
7f4c63b59940,7f4c7bb6f600,254
7f4c63b59940,7f4cafd9fa40,260
7f4c63b59940,7f4c6b1bbb40,422
7f4c84cfba00,7f4c60ccaa40,264
7f4c84cfba00,7f4cbe960500,276
7f4c84cfba00,7f4c5b5e2400,270
7f4c84cfba00,7f4ca13a02c0,264
7f4c84cfba00,7f4c7bb6f600,262
7f4c84cfba00,7f4cafd9fa40,260
7f4c84cfba00,7f4c6b1bbb40,268
7f4c8d2d1fc0,7f4c60ccaa40,262
7f4c8d2d1fc0,7f4cbe960500,262
7f4c8d2d1fc0,7f4c5b5e2400,262
7f4c8d2d1fc0,7f4ca13a02c0,264
7f4c8d2d1fc0,7f4c7bb6f600,268
7f4c8d2d1fc0,7f4cafd9fa40,262
7f4c8d2d1fc0,7f4c6b1bbb40,262
7f4c8d2d1fc0,7f4c84cfba00,264
7f4cc271d9c0,7f4c60ccaa40,270
7f4cc271d9c0,7f4cbe960500,262
7f4cc271d9c0,7f4c5b5e2400,250
7f4cc271d9c0,7f4ca13a02c0,254
7f4cc271d9c0,7f4c7bb6f600,266
7f4cc271d9c0,7f4cafd9fa40,254
7f4cc271d9c0,7f4c6b1bbb40,252
7f4cc271d9c0,7f4c84cfba00,262
7f4cc271d9c0,7f4c8d2d1fc0,260
7f4c519d8000,7f4c60ccaa40,256
7f4c519d8000,7f4cbe960500,260
7f4c519d8000,7f4c5b5e2400,256
7f4c519d8000,7f4ca13a02c0,264
7f4c519d8000,7f4c7bb6f600,260
7f4c519d8000,7f4cafd9fa40,254
7f4c519d8000,7f4c6b1bbb40,254
7f4c519d8000,7f4c84cfba00,262
7f4c519d8000,7f4c8d2d1fc0,268
7f4c519d8000,7f4cc271d9c0,254
7f4c74d711c0,7f4c60ccaa40,264
7f4c74d711c0,7f4cbe960500,268
7f4c74d711c0,7f4c5b5e2400,260
7f4c74d711c0,7f4ca13a02c0,256
7f4c74d711c0,7f4c7bb6f600,254
7f4c74d711c0,7f4cafd9fa40,260
7f4c74d711c0,7f4c6b1bbb40,260
7f4c74d711c0,7f4c84cfba00,268
